date,time,url,user_agent,source
"2025-07-14","09:06:24","/","","91.224.92.17"
"2025-07-14","09:06:24","/cgi-bin/luci/;stok=/locale","","89.42.231.140"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.140 Safari/537.36","149.50.96.5"
"2025-07-14","09:06:24","/cgi-bin/luci/;stok=/locale","","45.194.66.13"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46","204.76.203.219"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46","45.194.66.7"
"2025-07-14","09:06:24","/","","123.58.209.243"
"2025-07-14","09:06:24","/","","165.154.206.35"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","142.93.209.65"
"2025-07-14","09:06:24","/","","68.69.186.238"
"2025-07-14","09:06:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.145.99"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","167.99.191.155"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.130.96.91"
"2025-07-14","09:06:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.85"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.143.33.63"
"2025-07-14","09:06:24","/cgi-bin/index.html","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.140 Safari/537.36","149.50.96.5"
"2025-07-14","09:06:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.146.53"
"2025-07-14","09:06:24","/SDK/webLanguage","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.140 Safari/537.36","87.121.84.130"
"2025-07-14","09:06:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","199.45.154.129"
"2025-07-14","09:06:24","/setup.cgi","python-requests/2.32.4","176.65.148.80"
"2025-07-14","09:06:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.78"
"2025-07-14","09:06:24","/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.132.23.201"
"2025-07-14","09:06:24","/","curl/7.88.1","59.13.196.77"
"2025-07-14","09:06:24","/cgi-bin/luci/;stok=/locale","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","149.50.96.5"
"2025-07-14","09:06:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.61"
"2025-07-14","09:06:24","/t4","Mozilla/5.0","209.38.88.47"
